frame,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,Xa,Ya,Xb,Yb,Xc,Yc,Xd,Yd,Xe,Ye,Xf,Yf,Xg,Yg
11,398.3034,54.73077,186.14444,76.87778,340.74176,104.80769,405.18594,112.49174,471.26297,109.49259,533.3,132.58,572.3452,139.03572,520.75226,166.54504,260.03906,190.60938,488.38785,212.00467,331.15518,210.0747,145.53125,219.96875,386.70834,250.8125,585.345,260.00388,316.6875,278,478.11166,284.33496,523.7233,344.2573,245.43243,349.6757,423.34872,367.2647,421.19446,433.80554,482.06,452.66,381.9717,221.65094,141.83333,167.07143,325.07144,469.17856,213.70833,229.5677,195.42857,83.83673,237,51.48077,46.463634,177.51819,593.7126,91.232285,599.80817,230.48256,254.8238,89.19524,205.95833,377.95834,43.045456,56,85.54878,26.036585,319.875,184.71875,144.21428,422.6746,481.7069,60.198277,83.818184,238.54546,253.65384,474.26923,198.57378,162.56557,179.54233,220.78572,136.56627,247.71687,340.97058,327.29413,594.2615,329.47247,189.19148,378.64893,556.92224,424.27222
12,396.11905,58.166668,182.46703,77.22527,343.78302,104.29245,401.99496,112.5101,470.44736,108.97369,531.14,136.46,571.17035,137.52197,522.536,167.40991,262.7143,190.51428,488.6654,211.3421,329.31442,209.15979,147.94827,219.5,381.81506,251.73288,584.4806,260.75244,317.6905,275.59525,477.9272,283.55826,524.3316,343.5316,247.77777,347.94446,424.08066,370.23117,424.03732,432.21643,480.86365,453.95456,379.39285,220.42857,140.97826,164.95653,323.7,468.23334,213.40341,232.34091,194.05072,86.789856,236.99524,53.661903,43.566666,177.36667,594.2752,93.67829,596.418,230.38524,256.30908,88.218185,199.43333,378.56668,39.653847,56.346153,86.5,24.6875,317.675,183.3375,145.73077,422.69232,480.75,59.275,82.67647,237.55882,251.56757,474.1216,201.90323,160.75807,180.8027,222.79189,136.5921,247.23027,341.8818,326.70605,593.8059,327.28082,189.57895,376.9684,556.7438,425.18655
13,399.6389,55.77778,185.07446,78.776596,342.7745,104.67647,401.98276,113.52586,470.98334,108.96667,529.7869,135.27391,573.7553,140.32979,523.3384,168.17677,259.4078,189.98227,491.01352,211.52162,327.05356,209.53572,148.32143,220.46428,383.84042,252.39362,585.6262,260.7233,315.15048,276.09222,475.41818,280.55453,526.8333,344.33334,250.06757,348.28378,421.55435,370.08694,426.02173,433.84784,478.24527,449.12265,376.5,218.75,141.20422,164.88028,327.86365,470.79544,213.5,233.41176,196.76744,87.22093,238.25652,54.569565,49.28182,180.37273,594.5075,93.612785,604.3138,230.8077,255.98245,89.947365,201.37097,380.53226,36.239132,51.804348,86.78571,26.97619,313.64285,184.59525,143.47917,422.35416,482.468,58.332,89.5,238.62,252.9375,470.4375,198.14131,162.41304,176.93373,222.37952,138.21242,249.79411,341.16666,327.7837,594.87744,326.87256,188.79213,377.40448,557.1203,425.70322
14,402.22174,56.465218,186.10194,79.79126,340.82654,103.66327,399.87036,117.487656,471.15,109.41428,529.2288,135.6017,573.6,137.6,519.38135,167.72034,260.34616,188.4359,490.27515,211.41124,323.63043,207.60869,144.38889,222.93056,381.6954,253.22414,584.46875,261.03125,315.60843,278.21085,473.004,281.42,525.821,345.9074,251.47675,346.84885,419.93878,371.14285,428.3889,432,480.55554,452.6111,375.85715,217.42857,143.4375,164.125,328.44,469.32,216.95055,231.12637,194.18182,85.97727,237.82353,57.784313,48.01613,181.5,594.6045,94.24627,604.0779,231.82378,254.78572,92.0625,205.2742,383.37097,38.727272,55.090908,88.710526,24.236841,313.33334,183.33333,143.32759,424.67242,481,56.590164,93.11905,235.09525,255.53125,475.125,202.42134,160.97752,177.99747,221.56091,137.65286,247.18153,344.21667,326.69168,594.45,325.5,186.94385,376.0722,558.85205,424.41327
15,402.50894,59.080357,183.625,81.25,343.0111,104.67778,398.5,118.50813,470.93442,109.61475,530.00745,137.41791,574.1818,138.5,516.9039,164.5577,257.78104,189.99673,490.76828,212.02682,323.93137,208.10785,141.13158,220.76315,384.575,251.525,585.71783,262.4307,311.26,277.58,472.57144,283.375,523.5164,345.86066,245.88806,343.85822,419.97726,371.27274,426.5606,433.86365,480.45834,447.375,377.64706,222.32353,144.21428,164.94444,324.6111,466.44446,213.11874,231.375,199.52702,86.33784,241.22093,55.2907,49.97222,179.11111,595.03674,95.661766,597.8077,233.6282,253.47873,95.03191,201.20589,384,37.794117,52.911766,89.22727,24.227272,317.67856,182.78572,143.61765,423.79413,480.94354,57.951614,91.411766,235.97058,257.46155,475.42307,202.8743,159.02515,175.03801,219.99123,136.30116,246.90936,343.12668,327.98,594.2974,324.9957,185.89024,373.45123,557.9968,423.22327
16,402.7773,59.054623,187.53479,81.12608,339.9222,104.35555,396.4646,120.942474,470.9126,109.08042,529.6966,139.7735,574.2895,137.10527,520.3936,164.25533,257.43506,189.03247,490.98438,213.375,328.88678,208.39622,139.9,219.7,380.35556,252.07777,586.7759,261.84482,313.87314,280.81345,470.42,284.8,526.65,345.31,243.1,345.9,420.3734,371.2595,427.42105,433.5263,477.13208,450.29245,380.44736,218.71053,145.75757,164.12122,327.32858,471.3,207.45496,233.64415,200.41304,82.728264,238.84694,57.77551,50.333332,180.61111,597.029,97.478264,599.77435,237.88052,251.9537,92.25,199.07143,381.89285,36.382355,53.088234,90.86842,29.552631,316.27942,182.16176,145.89024,420.40244,481.36066,55.836067,90.95122,234.43903,256.47403,474.55194,202.41304,158.54892,175.7054,217.93243,133.71191,247.75166,346.31168,330.05194,594.1822,325.35168,185.77895,375.18948,555.25287,422.50574
17,402.25653,57.447826,187.42857,84.8125,338.58975,103.32051,397.2983,123.13025,471.37903,109.79032,530.1838,141.51709,575.58826,132.88235,519.5642,160.71101,256.43054,187.56944,491.09637,212.33736,328.67242,210.74138,140.35715,223.57143,380.5435,254.10869,582.5513,261.9701,313.17044,279.02274,474.11682,285.90186,525.9342,346.28946,244.025,343.25,422.57767,370.76215,427.8243,430.33783,480.56384,450.15958,378.27274,217.90909,144.40323,164.30646,331.175,469.225,208.17117,231.86037,199.85577,84.47115,238.17273,57.227272,51.629032,175.66129,597,97.76515,598.45935,237.87398,248.87837,94.33784,198.90625,384.34375,36.125,51.625,90.3,31.54,315.26596,182.69148,141.47298,418.52704,481.16373,57.252213,93.96154,236.60257,254.74051,474.1076,202.28181,157.96666,174.50592,215.9793,134.4349,249.05621,345.3924,327.6519,595.29254,327.09042,182.97368,374.93274,554.99457,422.5815
18,399.47726,55.204544,191.32222,84.78889,339.4885,103.72988,395.04544,125.47727,471.2903,109.354836,530.97864,138.44017,574.4643,133.5,517.17255,159.69469,260.125,186.15625,491.45676,213.24594,328.73254,208.25581,138.16667,223.46666,383.41357,256.40125,580.2619,260.6111,316.1757,278.4189,476.79825,286.0614,529.1719,348.26562,245.60715,348.85715,425.70755,372.74527,427.5,432.28946,480.44736,447.57895,380.77777,220.88889,142.01282,163.16667,333.2143,472.14285,209.1927,232.91667,196.58696,81.891304,240.35321,55.683487,47.177967,180.19492,600.4844,98.65625,598.819,236.52586,253.625,94.45,203.26923,385.5,38.009434,50.21698,90.14286,32.07143,312.21085,184.19879,137.3,418.6,483.6,57.85,93.77027,234.87837,253.83766,474.73376,198.8512,155.52975,177.07738,214.51785,133.5119,247.93452,344.95,327.175,595.9608,326.29263,182.03061,374.65817,556.6389,424.6722
19,398.32608,54.608696,187.6194,85.57462,334.9,104.1,400.37097,125.31721,470.9127,109.74603,528.4741,141.07759,574.5,134.77272,515.6177,160.81764,256.30142,189.39362,487.7748,210.01144,329.25,208.8,137.52563,221.52563,385.88635,252.38637,582.4208,261.00494,316.4189,282.47296,473.0983,288.31195,527.95056,347.12637,246.23334,347.3,422.73438,373.26562,423.7903,432.7903,482.26,448.82,383.48718,217.46153,141.01613,164.25807,331.08334,471.66666,210.99419,230.24419,199.61494,82.79885,241.00725,55.557972,50.53125,180.875,598.4728,98.03061,596.58264,233.65703,250.55405,96.36487,206.23685,377.55264,37.46552,52.327587,86.709305,33.7093,313.1389,183.30556,138.375,419.25,482.6129,57.967743,88.827866,235.48361,251.31395,476.52325,198.47076,155.17836,176.68947,214.6421,133.5,248.24432,345.8245,324.5331,594.5,325.03522,184.93158,371.47894,555.67316,427.35474
20,401.89536,56.186047,187.14647,82.28788,334.71622,103.77027,399.58572,128.58571,470.99533,110.154205,532.15,138.875,574.2273,131.62122,515.5253,159.82912,255.72058,190,487.45935,212.04471,332.15854,205.68292,137.5,223.73529,383.13635,250.22728,583.8333,263.3889,314.5345,282.4138,470.32178,287.00494,529.7857,345.62244,247.73529,345.55884,421.95,374.2,423.39474,431.9386,481.54,449.58,387.29166,217.625,144.42046,164.42046,330.35715,473.35715,211.14583,231.72917,197.77272,84.90909,239.13637,54.64876,50.5,177.63637,598.3815,95.86296,596.36725,233.81859,254.63208,95.76415,206.9375,378.0625,36.85294,53.32353,84.93662,33.007042,312.22092,182.40698,138.72728,426.11365,481.64517,57.51613,94.71739,233.19565,256.75714,474.95715,198.17262,159.70833,174.89766,214.60527,134.12651,249.95782,347.77084,322.27084,596.4378,322.53827,182.97058,373.17914,556.8057,427.1879
